Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
21.23,2,0.1840250838881021350137520050,0.18900173830179,0.18900173830179,0.184249495143013,0.184249495143013,0.132870351856021,0.1393854763703369727082445831,0.1014342323703004727082445831,0.0379512440000365,4.668921681545681479016194835,28.036831230107212742985549118,29.828018988405652910627416315,954738900
21.24,2,0.1840210345122323150137520050,0.188997056349263,0.188997056349263,0.18424544082909,0.18424544082909,0.1328524494063,0.1393674214285178846250032721,0.1014161774284813846250032721,0.0379512440000365,4.6682338529784939075809355264,28.033785772886619502305466292,29.825226027156974625785201787,955188700
21.25,2,0.1840169885114777350137520050,0.188992378064356,0.188992378064356,0.184241389894399,0.184241389894399,0.132834555155954,0.1393493748090773042139385737,0.1013981308090408042139385737,0.0379512440000365,4.6675462629070228444678952328,28.030732983006703251422170528,29.822426554879197726147194812,955638400
21.26,2,0.1840129469977242650137520050,0.188987705052192,0.188987705052192,0.184237343452181,0.184237343452181,0.132816683171194,0.1393313506256747518130323359,0.1013801066256382518130323359,0.0379512440000365,4.6668593141436877694882521318,28.027692065676869899014655904,29.819636838557222227449661693,956088100
21.27,2,0.1840089090824331050137520050,0.188983036275577,0.188983036275577,0.184233300612813,0.184233300612813,0.132798829241683,0.1393133446343412987077516565,0.1013621006343047987077516565,0.0379512440000365,4.6661728835935778384962071957,28.024654627107399478094878712,29.816849742402687657024687618,956537800
21.28,2,0.1840048855407040750137520050,0.18897838231329,0.18897838231329,0.184229272164535,0.184229272164535,0.132780987180894,0.1392953510215118126889229738,0.1013441070214753126889229738,0.0379512440000365,4.6654868031961775313029386028,28.021616219439805888322769389,29.814061522501235020346552203,956987500
21.29,2,0.1840008664841074950137520050,0.188973733507318,0.188973733507318,0.184225248206859,0.184225248206859,0.132763164105286,0.1392773765622513212140489728,0.1013261325622148212140489728,0.0379512440000365,4.6648012655285887079347385295,28.018577866042907216841295423,29.811272975913511369774458458,957437200
21.30,2,0.1839968410237912050137520050,0.18896907855717,0.18896907855717,0.184221217837654,0.184221217837654,0.13274534879756,0.1392594096517128067435248599,0.1013081656516763067435248599,0.0379512440000365,4.6641159366223338200737167476,28.01554176548213483768190492,29.808486107296488376477800597,957886900
21.31,2,0.1839928299354922050137520050,0.188964438905808,0.188964438905808,0.184217201857993,0.184217201857993,0.132727559275943,0.1392414690454943802103471531,0.1012902250454578802103471531,0.0379512440000365,4.6634313522715486996170970361,28.012510478842174398089726477,29.805702897228603223973028471,958336600
21.32,2,0.1839888133304656850137520050,0.188959793970802,0.188959793970802,0.184213180354877,0.184213180354877,0.13270977671803,0.1392235352143410858544272507,0.1012722912143045858544272507,0.0379512440000365,4.6627469514900905305481487704,28.009481214161731439555263592,29.802921169126749542756237607,958786400
21.33,2,0.1839848103195485950137520050,0.188955163387642,0.188955163387642,0.184209172462448,0.184209172462448,0.132692015146568,0.1392056228577265874854524434,0.1012543788576900874854524434,0.0379512440000365,4.6620631538727177926780501254,28.006452713252433074845772709,29.80013968120189749663592337,959236100
21.34,2,0.1839808106791092750137520050,0.18895053641346,0.18895053641346,0.184205167944606,0.184205167944606,0.132674260228272,0.1391877172761772562003204804,0.1012364732761407562003204804,0.0379512440000365,4.6613795367964166137319336763,28.00342526836255460565912838,29.797358841799273616246292349,959685800
21.35,2,0.1839768155200931250137520050,0.188945914645884,0.188945914645884,0.184201167913653,0.184201167913653,0.132656525841658,0.1391698323955099109816265686,0.1012185883954734109816265686,0.0379512440000365,4.660696497692223529779114401,28.000398355775701963402919982,29.794578045768181954026567576,960135500
21.36,2,0.1839728249530261650137520050,0.188941298627509,0.188941298627509,0.184197172480248,0.184197172480248,0.132638824353827,0.1391519805942284840092376651,0.1012007365941919840092376651,0.0379512440000365,4.6600143896640263445877476743,27.997377293071698518003304969,29.791801701753575185834270361,960585200
21.37,2,0.1839688377549069850137520050,0.188936685521132,0.188936685521132,0.1841931804199,0.1841931804199,0.132621109604129,0.1391341156407866640023251596,0.1011828716407501640023251596,0.0379512440000365,4.659331886761411890055057272,27.994357378489676827973094215,29.78902629410062337555359954,961034900
21.38,2,0.1839648550363697350137520050,0.188932078051522,0.188932078051522,0.184189192844596,0.184189192844596,0.13260342775714,0.1391162837667304131758672636,0.1011650397666939131758672636,0.0379512440000365,4.6586503119064696459922213682,27.991337619629458986409621805,29.786250460149535418985084256,961484600
21.39,2,0.1839608859076302250137520050,0.18892748452444,0.18892748452444,0.184185218875662,0.184185218875662,0.132585755298974,0.1390984617623655219177291905,0.1011472177623290219177291905,0.0379512440000365,4.6579689986762531203394865403,27.988322401264204481286637454,29.783478203434690459918697277,961934300
21.40,2,0.1839569111463167250137520050,0.188922885739354,0.188922885739354,0.184181239267286,0.184181239267286,0.132568093862214,0.1390806505891912222511243058,0.1011294065891547222511243058,0.0379512440000365,4.6572879731015581168650081633,27.985309882486734009146691119,29.780707934957305002683388273,962384100
21.41,2,0.1839529499733740150137520050,0.188918301482818,0.188918301482818,0.184177273263851,0.184177273263851,0.132550458636674,0.1390628661183079988525791105,0.1011116221182714988525791105,0.0379512440000365,4.6566076883417361435090328131,27.98229773004393817905001463,29.777937479665604392171389768,962833800
21.42,2,0.1839489831668467450137520050,0.188913712048267,0.188913712048267,0.184173301619961,0.184173301619961,0.132532836752131,0.1390450947995847845161220784,0.1010938507995482845161220784,0.0379512440000365,4.6559277546999550321687842664,27.979284855177005978500869407,29.775166051985231168628436792,963283500
21.43,2,0.1839450208368524550137520050,0.188909127410425,0.188909127410425,0.184169334458063,0.184169334458063,0.132515223801662,0.1390273325768964688933282243,0.1010760885768599688933282243,0.0379512440000365,4.6552480544626759105693950973,27.976278846211504486705882278,29.772400185256079859970285485,963733200
21.44,2,0.1839410710930945950137520050,0.188904556088941,0.188904556088941,0.18416537989775,0.18416537989775,0.132497631099676,0.1390095910550901393369724214,0.1010583470550536393369724214,0.0379512440000365,4.6545689185700646387371574835,27.973270832743281028425922295,29.769632158512680505530038879,964182900
21.45,2,0.1839371267142429350137520050,0.188899990540638,0.188899990540638,0.184161430708886,0.184161430708886,0.132480049808007,0.1389918611381305829741261327,0.1010406171380940829741261327,0.0379512440000365,4.6538900849257933443972039984,27.970267330580303062770056773,29.766867643318547328567051328,964632600
21.46,2,0.1839331859202127450137520050,0.188895429511237,0.188895429511237,0.184157485109214,0.184157485109214,0.132462495077102,0.1389741579234623472254348128,0.1010229139234258472254348128,0.0379512440000365,4.6532119845255892115328040196,27.967266760560721132381007491,29.764105118009276876011504398,965082300
21.47,2,0.1839292484900848650137520050,0.18889087192879,0.18889087192879,0.184153542877547,0.184153542877547,0.13244494254821,0.1389564570297635987604685473,0.1010052130297270987604685473,0.0379512440000365,4.6525339173818897199551357228,27.964262195113617606318121042,29.761338921266254542687537544,965532000
21.48,2,0.1839253155334667550137520050,0.188886319518029,0.188886319518029,0.184149605124845,0.184149605124845,0.132427409778091,0.1389387760632899566282632095,0.1009875320632534566282632095,0.0379512440000365,4.6518563863626080255184000827,27.961266792436610982978501023,29.758580113025258320383634027,965981800
21.49,2,0.1839213861595528750137520050,0.18888177107016,0.18888177107016,0.184145670959217,0.184145670959217,0.132409887707377,0.1389211059280069409941761000,0.1009698619279704409941761000,0.0379512440000365,4.651179129371394284076798074,27.958270965446077268894044898,29.755820587392180057491641382,966431500
21.50,2,0.1839174611480453250137520050,0.18887722762225,0.18887722762225,0.184141741161314,0.184141741161314,0.13239238366522,0.1389034539847941067598507851,0.1009522099847576067598507851,0.0379512440000365,4.6505023557677433275275534757,27.955276074945167873802323425,29.753061423487889255783896055,966881200
21.51,2,0.1839135397178375250137520050,0.188872688540829,0.188872688540829,0.184137814949078,0.184137814949078,0.132374901920295,0.1388858244776186024039831334,0.1009345804775821024039831334,0.0379512440000365,4.6498261856181869877678900613,27.95228584761153507289624037,29.750305759394719322528102861,967330900
21.52,2,0.1839096326490425250137520050,0.188868164174023,0.188868164174023,0.184133903115769,0.184133903115769,0.132357429537232,0.1388682048401345274296053841,0.1009169608400980274296053841,0.0379512440000365,4.6491502574093050685659632056,27.949292907214517881734728174,29.747547418879108972566233954,967780600
21.53,2,0.1839057191601461750137520050,0.188863633619648,0.188863633619648,0.184129984854529,0.184129984854529,0.132339964149438,0.1388505919777158987917507984,0.1008993479776793987917507984,0.0379512440000365,4.6484744809724080778620194869,27.946301015465097141483511738,29.744789651326004826035398531,968230300
21.54,2,0.1839018100316717850137520050,0.188859108636807,0.188859108636807,0.184126070959028,0.184126070959028,0.132322533214888,0.1388330137419957959502491517,0.1008817697419592959502491517,0.0379512440000365,4.6477996526838531715102598805,27.943319616541872758646436286,29.742040225965469916622194788,968680100
21.55,2,0.1838979144817006550137520050,0.188854597159745,0.188854597159745,0.184122170658589,0.184122170658589,0.132305099486321,0.1388154331853063105447775702,0.1008641891852698105447775702,0.0379512440000365,4.6471247125567665053648853601,27.940329686059573170810458199,29.739283268976872110687425155,969129700
21.56,2,0.1838940222911632250137520050,0.188850089766615,0.188850089766615,0.18411827372168,0.18411827372168,0.132287686328639,0.1387978733294987413925739603,0.1008466293294622413925739603,0.0379512440000365,4.6464503186044492352800969029,27.93735072728641265195188145,29.73653521112250661378820284,969579500
21.57,2,0.1838901246777379450137520050,0.188845577669743,0.188845577669743,0.184114371355271,0.184114371355271,0.132270294048717,0.1387803341745732281199784814,0.1008290901745367281199784814,0.0379512440000365,4.6457764693127341931531182845,27.934372345970797164180471268,29.733787153866954180311923049,970029200
21.58,2,0.1838862404227627850137520050,0.188841079256909,0.188841079256909,0.184110482363601,0.184110482363601,0.132252910392516,0.1387628041156826135610461803,0.1008115601156461135610461803,0.0379512440000365,4.6451028307130968587951276804,27.931392587971025415923916858,29.731037549822770511371942114,970478800
21.59,2,0.1838823607435118050137520050,0.188836585827593,0.188836585827593,0.184106597953236,0.184106597953236,0.132235538174208,0.1387452856616387023824533139,0.1007940416616022023824533139,0.0379512440000365,4.6444294731635014161893944663,27.928415791617315869747285981,29.728290080096459195912961596,970928600
21.60,2,0.1838784844217310050137520050,0.188832096426243,0.188832096426243,0.184102716904436,0.184102716904436,0.132218184980485,0.1387277863611642046268356077,0.1007765423611277046268356077,0.0379512440000365,4.6437566114048243170180284177,27.925439109734288115533634458,29.72554222050945500073917183,971378300
21.61,2,0.1838746116742906350137520050,0.18882761164131,0.18882761164131,0.184098839434334,0.184098839434334,0.132200861440632,0.1387103168576066265579041707,0.1007590728575701265579041707,0.0379512440000365,4.643084548832297421307321712,27.922466884473700039823624028,29.722797565173559058409385653,971828000
21.62,2,0.1838707432833438750137520050,0.188823130898079,0.188823130898079,0.184094966326039,0.184094966326039,0.132183528658059,0.1386928382580138007094591569,0.1007415942579773007094591569,0.0379512440000365,4.642412169730786532825429723,27.919493356660178163721086098,29.72005161342163988090823881,972277800
21.63,2,0.1838668794653600150137520050,0.188818655770495,0.188818655770495,0.184091097796283,0.184091097796283,0.132166225494464,0.1386753894553378596411153723,0.1007241454553013596411153723,0.0379512440000365,4.6417405867871254834695762275,27.916525303841494177635517929,29.717309730047456873356186351,972727400
21.64,2,0.1838630280028937550137520050,0.188814193383964,0.188814193383964,0.184087241637112,0.184087241637112,0.132148932723735,0.1386579514838529290433252547,0.1007067074838164290433252547,0.0379512440000365,4.6410692551591191051369850012,27.913563107750684544606573447,29.714572448897530002182844929,973177200
21.65,2,0.1838591711120163150137520050,0.188809726261161,0.188809726261161,0.184083380042909,0.184083380042909,0.132131660057771,0.1386405334395931047782960649,0.1006892894395566047782960649,0.0379512440000365,4.6403984339147925536818570195,27.910595567514457055908705186,29.711830078360501219270396188,973626800
21.66,2,0.1838553185756876350137520050,0.18880526381301,0.18880526381301,0.184079522808566,0.184079522808566,0.132114396330144,0.1386231244913682490401001329,0.1006718804913317490401001329,0.0379512440000365,4.6397278112492623089153704577,27.907632359355283748190644997,29.709091016868987595176074505,974076500
21.67,2,0.1838514786095761550137520050,0.188800814374742,0.188800814374742,0.184075678159769,0.184075678159769,0.132097144534251,0.1386057279216472556686010779,0.1006544839216107556686010779,0.0379512440000365,4.6390574796841642027347490911,27.904672359991893903840643537,29.706354262835316876973633831,974526300
21.68,2,0.1838476339970467850137520050,0.18879636130012,0.18879636130012,0.184071828858888,0.184071828858888,0.132079921906294,0.1385883603751863720632812483,0.1006371163751498720632812483,0.0379512440000365,4.6383879145424833909941938971,27.901711908646338053800036212,29.703616493855318771320106391,974976000
21.69,2,0.1838437919533695850137520050,0.188791910714917,0.188791910714917,0.184067982129992,0.184067982129992,0.13206269686902,0.1385709905077560709874064441,0.1006197465077195709874064441,0.0379512440000365,4.6377182163640023816339514518,27.898759020464035400559323493,29.700884915583853798983099329,975425700
21.70,2,0.1838399742623086750137520050,0.188787485300624,0.188787485300624,0.184064159783409,0.184064159783409,0.132045493988642,0.1385536436621767894760892270,0.1006023996621402894760892270,0.0379512440000365,4.6370491096529333023791543274,27.895801737155109959620021023,29.698149006289281660830095522,975875500
21.71,2,0.1838361401387402350137520050,0.18878304384881,0.18878304384881,0.184060320984279,0.184060320984279,0.132028303280228,0.1385363084214449792899823220,0.1005850644214084792899823220,0.0379512440000365,4.6363802658220173372130719034,27.892845876480172909471809178,29.69541386899962406037432519,976325100
21.72,2,0.1838323193668260750137520050,0.188778616688686,0.188778616688686,0.184056495553086,0.184056495553086,0.132011138791305,0.1385189998830042104653500666,0.1005677558829677104653500666,0.0379512440000365,4.6357121158670109659468823537,27.889899239562751247631412661,29.692686009663473563737261778,976774800
21.73,2,0.1838285031610479050137520050,0.188774194178482,0.188774194178482,0.184052674693597,0.184052674693597,0.131993976462387,0.1385016936655328242046877459,0.1005504496654963242046877459,0.0379512440000365,4.6350439598003280204778094545,27.886951203744051226214282475,29.689956603016824017674622888,977224500
21.74,2,0.1838246903059667250137520050,0.188769775662466,0.188769775662466,0.184048857188891,0.184048857188891,0.131976832385104,0.1384844058279740414464935417,0.1005331618279375414464935417,0.0379512440000365,4.6343762561626466566600541833,27.884004628536625918790019288,29.687227914094883117068837201,977674200
21.75,2,0.1838208820156690550137520050,0.188765362200021,0.188765362200021,0.184045044254535,0.184045044254535,0.131959702065652,0.1384671319162313795391937467,0.1005158879161948795391937467,0.0379512440000365,4.6337088758393450303478175124,27.881056041329634584448056204,29.684497015884369150125910456,978124000
21.76,2,0.1838170771821978550137520050,0.188760952696402,0.188760952696402,0.184041234781221,0.184041234781221,0.131942585940473,0.1384498723282765598517874817,0.1004986283282400598517874817,0.0379512440000365,4.6330418287173162973953004193,27.878113950279895969287864082,29.681771183680681241286140571,978573700
21.77,2,0.1838132746979919650137520050,0.188756546002486,0.188756546002486,0.184037427660038,0.184037427660038,0.131925482877354,0.1384326258924814001606189812,0.1004813818924449001606189812,0.0379512440000365,4.6323750797177286136567038795,27.875172723032281156717774781,29.679045605069558589887608882,979023400
21.78,2,0.1838094777765493450137520050,0.188752145624173,0.188752145624173,0.184033626108401,0.184033626108401,0.131908401081317,0.1384154009312250713629806156,0.1004641569311885713629806156,0.0379512440000365,4.6317088657449974870722744688,27.87223234964644247609334449,29.676320174807036901060607429,979473200
21.79,2,0.1838056932034222950137520050,0.188747757952704,0.188747757952704,0.184029836920137,0.184029836920137,0.131891328905212,0.1383981860275025591429534345,0.1004469420274660591429534345,0.0379512440000365,4.6310428582118937214101675634,27.869294496544056293323255908,29.673596443065766595454699905,979922900
21.80,2,0.1838019031917164550137520050,0.188743365447236,0.188743365447236,0.184026042286663,0.184026042286663,0.131874274326945,0.1383809885421933485890109246,0.1004297445421568485890109246,0.0379512440000365,4.6303772664778958246106297375,27.866359935598016794093101466,29.670874984740229723544200933,980372500
21.81,2,0.1837981165273801150137520050,0.188738976696182,0.188738976696182,0.184022251004641,0.184022251004641,0.131857231229491,0.1383638026617312253878432880,0.1004125586616947253878432880,0.0379512440000365,4.6297119224824429525278619693,27.863426816669592770439501867,29.668154276915412690527675109,980822200
